id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
11199,-58.39143978,-34.62325724,BANCO PIANO S.A.,LINK,Av. Entre Rios 1238,CABA,1,FALSE,FALSE,Av. Entre Rios,1238,,Constitucion,Comuna 1,1133,C1133AAN
11675,-58.39124179,-34.62622731,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Entre Rios 1492 esquina Pavon,CABA,1,FALSE,FALSE,Av. Entre Rios,1492,,Constitucion,Comuna 1,1133,C1133AAP
11681,-58.35176211,-34.62450846,BANCO DE LA NACION ARGENTINA,LINK,Av. EspaÒa 2591,CABA,1,FALSE,FALSE,Av. EspaÒa,2591,,Boca,Comuna 4,1107,C1107AMF
11680,-58.34328475,-34.62383049,CABAL COOP. LTDA.,LINK,Av. EspaÒa 3091,CABA,1,FALSE,FALSE,Av. EspaÒa,3091,,Boca,Comuna 4,1107,C1107AMK
11523,-58.45695367,-34.64114833,BANCO DE LA NACION ARGENTINA,LINK,"Av. Eva Peron 2616, entre Varela y Arrotea",CABA,2,FALSE,FALSE,Av. Eva Peron,2616,,Flores,Comuna 7,1406,C1406HNO
10981,-58.47687962,-34.65612957,CABAL COOP. LTDA.,LINK,Av. Eva Peron 4735,CABA,3,FALSE,FALSE,Av. Eva Peron,4735,,Parque Avellaneda,Comuna 9,1407,C1407HUL
10980,-58.47782166,-34.65698959,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Eva Peron 4834/36,CABA,3,FALSE,FALSE,Av. Eva Peron,4834,,Parque Avellaneda,Comuna 9,1407,C1407HUZ
11216,-58.52437331,-34.61348836,BANCO DE LA NACION ARGENTINA,LINK,Av. Fco. Beiro 5252,CABA,2,FALSE,FALSE,Av. Fco. Beiro,5252,,Villa Devoto,Comuna 11,1419,C1419IAO
11434,-58.52577738,-34.61445638,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Fco. Beiro 5327,CABA,3,FALSE,FALSE,Av. Fco. Beiro,5327,,Villa Real,Comuna 10,1419,C1419IAC
11091,-58.44565634,-34.66178385,CABAL COOP. LTDA.,LINK,Av. F. De La Cruz 3314,CABA,3,FALSE,FALSE,Av. F. De La Cruz,3314,,Villa Soldati,Comuna 8,1437,C1437GZZ
11772,-58.44649974,-34.57270082,BANCO DE LA NACION ARGENTINA,LINK,Av. Federico Lacroze 2668,CABA,2,FALSE,FALSE,Av. Federico Lacroze,2668,,Colegiales,Comuna 13,1426,C1426CPY
11770,-58.45254606,-34.58300202,CABAL COOP. LTDA.,LINK,Av. Federico Lacroze 3763,CABA,2,FALSE,FALSE,Av. Federico Lacroze,3763,,Chacarita,Comuna 15,1427,C1427EDC
11769,-58.45370813,-34.58483806,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Federico Lacroze 3960,CABA,2,FALSE,FALSE,Av. Federico Lacroze,3960,,Chacarita,Comuna 15,1427,C1427EDR
10956,-58.44952268,-34.54670121,CABAL COOP. LTDA.,LINK,Av. Figueroa Alcorta 7597,CABA,1,FALSE,FALSE,Av. Figueroa Alcorta,7597,,Belgrano,Comuna 13,1428,C1428BCL
11766,-58.4529541,-34.58617809,BANCO DE LA NACION ARGENTINA,LINK,Av. Forest 488,CABA,2,FALSE,FALSE,Av. Forest,488,,Chacarita,Comuna 15,1427,C1427CEO
11655,-58.44597196,-34.60748061,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Gaona 1142,CABA,3,FALSE,FALSE,Av. Gaona,1142,,Caballito,Comuna 6,1405,C1405DKN
11660,-58.4534273,-34.61133066,BANCO DE LA NACION ARGENTINA,LINK,Av. Gaona 1800,CABA,3,FALSE,FALSE,Av. Gaona,1800,,Caballito,Comuna 6,1416,C1416DRS
11662,-58.45733048,-34.61302668,BANCO DE LA NACION ARGENTINA,LINK,Av. Gaona 2197,CABA,1,FALSE,FALSE,Av. Gaona,2197,,Caballito,Comuna 6,1416,C1416DRJ
11525,-58.47739639,-34.62210279,NUEVO BCO. INDUSTRIAL DE AZUL S.A.,LINK,Av. Gaona 3755,CABA,1,FALSE,FALSE,Av. Gaona,3755,,Villa Santa Rita,Comuna 11,1416,C1416DSM
11717,-58.37778691,-34.58190536,BANCO DE LA NACION ARGENTINA,LINK,Av. Gendarmeria Nacional 717,CABA,1,FALSE,FALSE,Av. Gendarmeria Nacional,717,,Retiro,Comuna 1,,
11007,-58.3901045,-34.59312756,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Gral. Las Heras 1601,CABA,2,FALSE,FALSE,Av. Gral. Las Heras,1601,,Recoleta,Comuna 2,1018,C1018AAA
11005,-58.39504568,-34.58891244,BANCO DE LA NACION ARGENTINA,LINK,"Av. Gral, Las Heras 2111",CABA,3,FALSE,FALSE,"Av. Gral, Las Heras",2111,,Recoleta,Comuna 2,1127,C1127AAD
11003,-58.39496368,-34.58917645,BANCO DE LA NACION ARGENTINA,LINK,Av. Gral. Las Heras 2111,CABA,3,FALSE,FALSE,Av. Gral. Las Heras,2111,,Recoleta,Comuna 2,1127,C1127AAD
10996,-58.39806879,-34.58672337,NUEVO BCO. INDUSTRIAL DE AZUL S.A.,LINK,Av. Gral. Las Heras 2382,CABA,2,FALSE,FALSE,Av. Gral. Las Heras,2382,,Recoleta,Comuna 2,1425,C1425ASN
10993,-58.40035388,-34.58462532,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Gral. Las Heras 2670, entre Austria y Tagle",CABA,1,FALSE,FALSE,Av. Gral. Las Heras,2670,,Recoleta,Comuna 2,1425,C1425ASQ
11788,-58.41447145,-34.58170718,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Gral. Las Heras 3925,CABA,1,FALSE,FALSE,Av. Gral. Las Heras,3925,,Palermo,Comuna 14,1425,C1425ATD
11232,-58.50101012,-34.58551384,CABAL COOP. LTDA.,LINK,Av. Gral. Mosconi 2793,CABA,2,FALSE,FALSE,Av. Gral. Mosconi,2793,,Villa Pueyrredon,Comuna 12,1419,C1419EQG
11217,-58.5113026,-34.59182193,BANCO DE LA NACION ARGENTINA,LINK,Av. Gral. Mosconi 3581,CABA,2,FALSE,FALSE,Av. Gral. Mosconi,3581,,Villa Devoto,Comuna 11,1419,C1419ERB
11224,-58.5049093,-34.58774987,BANCO DE LA NACION ARGENTINA,LINK,Av. Gral. Mosconi 61,CABA,1,FALSE,FALSE,Av. Gral. Mosconi,61,,,,,
10977,-58.51421625,-34.66444958,BANCO DE LA NACION ARGENTINA,LINK,Av. Gral. Paz 12950,CABA,1,FALSE,FALSE,Av. Gral. Paz,12950,,Mataderos,Comuna 9,1440,C1440FJV
11225,-58.52773942,-34.60889924,BANCO DE LA NACION ARGENTINA,LINK,Av. Gral. Paz 1499,CABA,1,FALSE,FALSE,Av. Gral. Paz,1499,,Saavedra,Comuna 12,,
10963,-58.41647481,-34.62084906,BANCO DE LA NACION ARGENTINA,LINK,Av. Independencia 3599,CABA,4,FALSE,FALSE,Av. Independencia,3599,,Almagro,Comuna 5,1226,C1226AAA
11382,-58.38169132,-34.61761316,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Independencia s/n esquina Lima piso -,CABA,1,FALSE,FALSE,,0,,,,,
11089,-58.43903909,-34.66556497,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Int. Fco. Rabanal 3220 esquina Pergamino,CABA,1,FALSE,FALSE,Av. Int. Fco. Rabanal,3220,,Villa Soldati,Comuna 8,1437,C1437FQT
11656,-58.4348136,-34.62234801,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Jose M. Moreno 362,CABA,1,FALSE,FALSE,Av. Jose M. Moreno,362,,Caballito,Comuna 6,1424,C1424AAQ
10978,-58.50176863,-34.65091033,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Juan B. Alberdi 5759,CABA,3,FALSE,FALSE,Av. Juan B. Alberdi,5759,,Mataderos,Comuna 9,1440,C1440AAI
10976,-58.50387973,-34.65295937,CABAL COOP. LTDA.,LINK,Av. Juan B. Alberdi 5984,CABA,3,FALSE,FALSE,Av. Juan B. Alberdi,5984,,Mataderos,Comuna 9,1440,C1440AAX
10979,-58.50651486,-34.6550084,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Juan B. Alberdi 6299,CABA,3,FALSE,FALSE,Av. Juan B. Alberdi,6299,,Mataderos,Comuna 9,1440,C1440ABA
10973,-58.50794793,-34.65634142,BANCO DE LA NACION ARGENTINA,LINK,Av. Juan B. Alberdi 6502,CABA,5,FALSE,FALSE,Av. Juan B. Alberdi,6502,,Mataderos,Comuna 9,1440,C1440ABQ
10975,-58.50874396,-34.65669543,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Juan B. Alberdi 6601,CABA,4,FALSE,FALSE,Av. Juan B. Alberdi,6601,,Mataderos,Comuna 9,1440,C1440ABE
11422,-58.51891122,-34.63308984,CABAL COOP. LTDA.,LINK,Av. Juan B. Justo 9200,CABA,1,FALSE,FALSE,Av. Juan B. Justo,9200,,Liniers,Comuna 9,1408,C1408AKU
11677,-58.38133638,-34.62713938,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Juan De Garay 1151 piso 1 SS,CABA,3,FALSE,FALSE,Av. Juan De Garay 1151 piso,1,,,,,
11405,-58.37505799,-34.61052703,BANCO DE LA NACION ARGENTINA,LINK,Av. Julio A. Roca 609,CABA,1,FALSE,FALSE,Av. Julio A. Roca,609,,Monserrat,Comuna 1,1067,C1067ABB
11397,-58.37555402,-34.61099504,BANCO DE LA NACION ARGENTINA,LINK,Av. Julio A. Roca 651,CABA,2,FALSE,FALSE,Av. Julio A. Roca,651,,Monserrat,Comuna 1,1067,C1067ABB
11385,-58.37680008,-34.61211706,BANCO DE LA NACION ARGENTINA,LINK,Av. Julio A. Roca 738,CABA,1,FALSE,FALSE,Av. Julio A. Roca,738,,Monserrat,Comuna 1,1067,C1067ABP
11402,-58.3773001,-34.61262207,BANCO DE LA NACION ARGENTINA,LINK,Av. Julio A Roca 782 piso 1,CABA,1,FALSE,FALSE,Av. Julio A Roca 782 piso,1,,,,,
11090,-58.44214018,-34.66006483,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Lafuente 2862,CABA,2,FALSE,FALSE,Av. Lafuente,2862,,Villa Soldati,Comuna 8,1437,C1437BUS
11430,-58.42566428,-34.63179727,CABAL COOP. LTDA.,LINK,Av. La Plata 1437,CABA,2,FALSE,FALSE,Av. La Plata,1437,,Parque Chacabuco,Comuna 7,1250,C1250AAE
